career,faculty
Lic. Contabilidad,1
Lic. Contabilidad y Auditoria,1
Lic. en Administración de Empresas,1
Lic. en Administración Financiera y Negocios Internacionales,1
Lic. en Administración de Mercadotecnia,1
"Lic. en Administración de Mercadeo, Promoción y Ventas",1
Lic. en Administración de Empresas Turísticas y Hoteleras Bilingüe,1
Lic. en Administración de Empresas Marítimas,1
Lic. en Administración de Recursos Humanos,1
Lic. en en Ing. de Operaciones y Logística Empresarial,1
Lic. en Contabilidad y Auditoría,1
Téc. en Operaciones Marítimas y Portuarias,1
Téc. en Administración de Empresas Agroindustrial,1
Téc en Secretariado Ejecutivo e Inglés,1
Especialista en Controlaría,1
Lic. en Administración Pública,2
Lic. en Trabajo Social,2
Lic. en Administración Pública Aduanera,2
Lic. en Gestión Municipal,2
Lic. en Protocolo y Relaciones Internacionales,2
Lic. en Administración Policial ,2
Lic. en Relaciones Internacionales,2
Lic. en Seguridad Nacional y Estudios Internacionales (SPI),2
Lic. en Seguridad Nacional y Sistema Internacional (Frontera),2
Lic. en Desarrollo Comunitario,2
Téc. en Gestión Administrativa para Instituciones Bomberiles,2
Téc. Seguridad Aeronaval y Estudios Internacionales,2
Téc. en Protocolo y Relaciones Internacionales,2
"Téc. en Control Migratorio, Seguridad y Estudios Nacionales",2
Lic. en Arquitectura,3
Lic. en Diseño Gráfico,3
Lic. en Arquitectura Interior,3
Lic. en Representación Arquitectónica y Digital,3
Lic. en Diseño de modas,3
Lic. en Edificación,3
Lic. en Diseño Industrial de Productos,3
Lic. en Bellas Artes con Especialización en Música,4
Lic. en Bellas Artes con especialización en Instrumento Musical (orquestal),4
Lic. en Bellas Artes con especialización en Instrumento Musical (guitarra),4
Lic. en Bellas Artes con especialización en Instrumento Musical (canto),4
Lic. en Bellas Artes con especialización en Instrumento Musical (piano),4
Lic. en Bellas Artes con especialización en Artes Teatral,4
Lic. en Artes Visuales,4
Lic. en Bellas Artes con especialización en Danza con Énfasis en Ballet Clásico,4
Lic. en Bellas Artes con Especialización en Artes Visuales y Énfasis en Dibujo y Pintura,4
Lic. en Bellas Artes con especialización en Danza Moderna,4
Lic. en Bellas Artes con especialización en Jazz y Danza de carácter,4
Lic. en Bellas Artes con especialización en Folklore y Danzas de la Etnia Nacional,4
Ing. Agronómica en Cultivos Tropicales,5
Ing. Agronómica Zootecnista,5
Ing. en Manejo de Cuencas y Ambiente,5
Ing. en Agronegocios y Desarrollo Agropecuario,5
Lic. en Ciencias de la familia y del desarrollo comunitario,5
Lic. en Gastronomía ,5
Lic. en Educación para el Hogar en Extensión Agricola,5
Téc. en Sanidad Vegetal,5
Lic. en Educación Preescola,6
Lic. en Educación Primaria,6
