quantity,year,campus_id,career_id
88,2022,1,3
31,2021,1,3
18,2020,1,3
57,2019,1,3
26,2022,1,5
14,2021,1,5
1,2020,1,5
37,2019,1,5
18,2022,1,4
31,2021,1,4
1,2020,1,4
137,2019,1,4
433,2022,1,9
300,2021,1,9
43,2020,1,9
248,2019,1,9
51,2022,1,7
27,2021,1,7
5,2020,1,7
58,2019,1,7
100,2022,1,8
61,2021,1,8
10,2020,1,8
137,2019,1,8
105,2022,1,10
50,2021,1,10
18,2020,1,10
91,2019,1,10
62,2022,1,6
28,2021,1,6
10,2020,1,6
33,2019,1,6
1,2022,1,14
0,2021,1,14
1,2020,1,14
2,2019,1,14
358,2022,1,1
296,2021,1,1
59,2020,1,1
307,2019,1,1
229,2022,1,2
195,2021,1,2
33,2020,1,2
132,2019,1,2
84,2022,1,11
87,2021,1,11
10,2020,1,11
66,2019,1,11
62,2022,1,12
27,2021,1,12
3,2020,1,12
0,2019,1,12
0,2022,1,13
0,2021,1,13
0,2020,1,13
0,2019,1,13
4,2022,1,15
0,2021,1,15
2,2020,1,15
2,2019,1,15
123,2022,1,16
94,2021,1,16
13,2020,1,16
73,2019,1,16
205,2022,1,18
124,2021,1,18
15,2020,1,18
175,2019,1,18
46,2022,1,21
95,2021,1,21
96,2020,1,21
118,2019,1,21
5,2022,1,25
3,2021,1,25
1,2020,1,25
9,2019,1,25
50,2022,1,22
29,2021,1,22
4,2020,1,22
20,2019,1,22
211,2022,1,17
134,2021,1,17
19,2020,1,17
68,2019,1,17
0,2022,1,23
26,2021,1,23
0,2020,1,23
0,2019,1,23
25,2022,1,24
0,2021,1,24
0,2020,1,24
0,2019,1,24
3,2022,1,19
6,2021,1,19
0,2020,1,19
10,2019,1,19
5,2022,1,25
3,2021,1,25
1,2020,1,25
9,2019,1,25
15,2022,1,20
21,2021,1,20
0,2020,1,20
22,2019,1,20
68,2022,1,26
44,2021,1,26
0,2020,1,26
13,2019,1,26
14,2022,1,27
1,2021,1,27
0,2020,1,27
0,2019,1,27
6,2022,1,28
2,2021,1,28
0,2020,1,28
4,2019,1,28
7,2022,1,29
0,2021,1,29
0,2020,1,29
0,2019,1,29
100,2022,1,30
114,2021,1,30
31,2020,1,30
66,2019,1,30
52,2022,1,31
13,2021,1,31
5,2020,1,31
21,2019,1,31
30,2022,1,32
12,2021,1,32
3,2020,1,32
16,2019,1,32
4,2022,1,33
3,2021,1,33
2,2020,1,33
3,2019,1,33
0,2022,1,34
0,2021,1,34
0,2020,1,34
2,2019,1,34
7,2022,1,35
2,2021,1,35
2,2020,1,35
3,2019,1,35
2,2022,1,36
2,2021,1,36
2,2020,1,36
1,2019,1,36
2,2022,1,43
0,2021,1,43
3,2020,1,43
1,2019,1,43
6,2022,1,46
2,2021,1,46
1,2020,1,46
2,2019,1,46
2,2022,1,47
2,2021,1,47
0,2020,1,47
5,2019,1,47
2,2022,1,44
4,2021,1,44
0,2020,1,44
1,2019,1,44
1,2022,1,45
0,2021,1,45
1,2020,1,45
0,2019,1,45
39,2022,1,37
21,2021,1,37
7,2020,1,37
28,2019,1,37
0,2022,1,38
2,2021,1,38
0,2020,1,38
1,2019,1,38
6,2022,1,40
2,2021,1,40
0,2020,1,40
5,2019,1,40
2,2022,1,39
5,2021,1,39
0,2020,1,39
1,2019,1,39
0,2022,1,41
13,2021,1,41
0,2020,1,41
13,2019,1,41
0,2022,1,42
4,2021,1,42
0,2020,1,42
8,2019,1,42
2,2022,1,43
0,2021,1,43
3,2020,1,43
1,2019,1,43
1,2022,1,48
0,2021,1,48
0,2020,1,48
1,2019,1,48
34,2022,1,50
42,2021,1,50
6,2020,1,50
55,2019,1,50
27,2022,1,49
17,2021,1,49
2,2020,1,49
33,2019,1,49
49,2022,1,51
53,2021,1,51
9,2020,1,51
37,2019,1,51
13,2022,1,52
12,2021,1,52
3,2020,1,52
16,2019,1,52
9,2022,1,53
4,2021,1,53
1,2020,1,53
2,2019,1,53
5,2022,1,54
5,2021,1,54
0,2020,1,54
4,2019,1,54
2,2022,1,55
0,2021,1,55
0,2020,1,55
1,2019,1,55
41,2022,1,56
29,2021,1,56
10,2020,1,56
51,2019,1,56
0,2022,1,63
0,2021,1,63
0,2020,1,63
2,2019,1,63
6,2022,1,62
5,2021,1,62
1,2020,1,62
6,2019,1,62
109,2022,1,57
38,2021,1,57
2,2020,1,57
41,2019,1,57
477,2022,1,58
345,2021,1,58
32,2020,1,58
253,2019,1,58
46,2022,1,60
13,2021,1,60
3,2020,1,60
23,2019,1,60
15,2022,1,59
0,2021,1,59
0,2020,1,59
3,2019,1,59
272,2022,1,61
273,2021,1,61
79,2020,1,61
231,2019,1,61
19,2022,1,66
7,2021,1,66
13,2020,1,66
14,2019,1,66
44,2022,1,65
13,2021,1,65
1,2020,1,65
19,2019,1,65
10,2022,1,67
5,2021,1,67
1,2020,1,67
13,2019,1,67
11,2022,1,64
2,2021,1,64
0,2020,1,64
14,2019,1,64
43,2022,1,68
37,2021,1,68
10,2020,1,68
40,2019,1,68
3,2022,1,69
4,2021,1,69
3,2020,1,69
2,2019,1,69
16,2022,1,70
14,2021,1,70
2,2020,1,70
10,2019,1,70
17,2022,1,71
11,2021,1,71
6,2020,1,71
23,2019,1,71
5,2022,1,72
2,2021,1,72
1,2020,1,72
3,2019,1,72
5,2022,1,73
6,2021,1,73
2,2020,1,73
6,2019,1,73
43,2022,1,74
23,2021,1,74
10,2020,1,74
30,2019,1,74
9,2022,1,75
11,2021,1,75
0,2020,1,75
2,2019,1,75
9,2022,1,76
2,2021,1,76
0,2020,1,76
5,2019,1,76
38,2022,1,77
37,2021,1,77
8,2020,1,77
